Fase,Nombre_fase,Referencia_brazalete,Que_es,Cabeza,Archivo,URL_proveedor,Aviso
3,Acero 904L,Brz-904-A14,"Acero 904L, eslabones planos · Plata 5 eslabones",C1-E1,LO-03-C1-E1-Brz-904-A14.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A14,"Acero 904L, eslabones planos · Plata 5 eslabones",C1-E2,LO-03-C1-E2-Brz-904-A14.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A14,"Acero 904L, eslabones planos · Plata 5 eslabones",C2-E2,LO-03-C2-E2-Brz-904-A14.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A14,"Acero 904L, eslabones planos · Plata 5 eslabones",C2-E3,LO-03-C2-E3-Brz-904-A14.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A15,"Acero 904L, eslabones planos · Plata / Oro rosa 5 eslabones",C1-E1,LO-03-C1-E1-Brz-904-A15.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A15,"Acero 904L, eslabones planos · Plata / Oro rosa 5 eslabones",C1-E2,LO-03-C1-E2-Brz-904-A15.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A15,"Acero 904L, eslabones planos · Plata / Oro rosa 5 eslabones",C2-E2,LO-03-C2-E2-Brz-904-A15.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A15,"Acero 904L, eslabones planos · Plata / Oro rosa 5 eslabones",C2-E3,LO-03-C2-E3-Brz-904-A15.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A16,"Acero 904L, eslabones planos · Negro 5 eslabones",C1-E1,LO-03-C1-E1-Brz-904-A16.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A16,"Acero 904L, eslabones planos · Negro 5 eslabones",C1-E2,LO-03-C1-E2-Brz-904-A16.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A16,"Acero 904L, eslabones planos · Negro 5 eslabones",C2-E2,LO-03-C2-E2-Brz-904-A16.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A16,"Acero 904L, eslabones planos · Negro 5 eslabones",C2-E3,LO-03-C2-E3-Brz-904-A16.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A17,"Acero 904L, eslabones planos · Plata 3 eslabones cepillado/mate",C1-E1,LO-03-C1-E1-Brz-904-A17.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A17,"Acero 904L, eslabones planos · Plata 3 eslabones cepillado/mate",C1-E2,LO-03-C1-E2-Brz-904-A17.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A17,"Acero 904L, eslabones planos · Plata 3 eslabones cepillado/mate",C2-E2,LO-03-C2-E2-Brz-904-A17.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A17,"Acero 904L, eslabones planos · Plata 3 eslabones cepillado/mate",C2-E3,LO-03-C2-E3-Brz-904-A17.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A18,"Acero 904L, eslabones planos · Plata 3 eslabones pulido",C1-E1,LO-03-C1-E1-Brz-904-A18.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A18,"Acero 904L, eslabones planos · Plata 3 eslabones pulido",C1-E2,LO-03-C1-E2-Brz-904-A18.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A18,"Acero 904L, eslabones planos · Plata 3 eslabones pulido",C2-E2,LO-03-C2-E2-Brz-904-A18.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A18,"Acero 904L, eslabones planos · Plata 3 eslabones pulido",C2-E3,LO-03-C2-E3-Brz-904-A18.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A19,"Acero 904L, eslabones planos · Negro 3 eslabones pulido",C1-E1,LO-03-C1-E1-Brz-904-A19.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A19,"Acero 904L, eslabones planos · Negro 3 eslabones pulido",C1-E2,LO-03-C1-E2-Brz-904-A19.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A19,"Acero 904L, eslabones planos · Negro 3 eslabones pulido",C2-E2,LO-03-C2-E2-Brz-904-A19.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A19,"Acero 904L, eslabones planos · Negro 3 eslabones pulido",C2-E3,LO-03-C2-E3-Brz-904-A19.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A20,"Acero 904L, eslabones planos · Plata / Oro Rosa 3 eslabones pulido",C1-E1,LO-03-C1-E1-Brz-904-A20.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A20,"Acero 904L, eslabones planos · Plata / Oro Rosa 3 eslabones pulido",C1-E2,LO-03-C1-E2-Brz-904-A20.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A20,"Acero 904L, eslabones planos · Plata / Oro Rosa 3 eslabones pulido",C2-E2,LO-03-C2-E2-Brz-904-A20.webp,https://es.aliexpress.com/item/1005008523066119.html,
3,Acero 904L,Brz-904-A20,"Acero 904L, eslabones planos · Plata / Oro Rosa 3 eslabones pulido",C2-E3,LO-03-C2-E3-Brz-904-A20.webp,https://es.aliexpress.com/item/1005008523066119.html,
4,Piel negra,Brz-Piel-P01,"Piel con liberación rápida · Negro, pespunte blanco, hebilla mariposa plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P01.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P01,"Piel con liberación rápida · Negro, pespunte blanco, hebilla mariposa plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P01.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P01,"Piel con liberación rápida · Negro, pespunte blanco, hebilla mariposa plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P01.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P01,"Piel con liberación rápida · Negro, pespunte blanco, hebilla mariposa plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P01.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P02,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P02.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P02,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P02.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P02,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P02.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P02,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P02.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P03,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica negra",C1-E1,LO-03-C1-E1-Brz-Piel-P03.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P03,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica negra",C1-E2,LO-03-C1-E2-Brz-Piel-P03.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P03,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica negra",C2-E2,LO-03-C2-E2-Brz-Piel-P03.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P03,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica negra",C2-E3,LO-03-C2-E3-Brz-Piel-P03.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P04,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica de oro rosa",C1-E1,LO-03-C1-E1-Brz-Piel-P04.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P04,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica de oro rosa",C1-E2,LO-03-C1-E2-Brz-Piel-P04.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P04,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica de oro rosa",C2-E2,LO-03-C2-E2-Brz-Piel-P04.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P04,"Piel con liberación rápida · Negro, pespunte blanco, hebilla clásica de oro rosa",C2-E3,LO-03-C2-E3-Brz-Piel-P04.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P05,"Piel con liberación rápida · Negro, pespunte negro, hebilla mariposa plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P05.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P05,"Piel con liberación rápida · Negro, pespunte negro, hebilla mariposa plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P05.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P05,"Piel con liberación rápida · Negro, pespunte negro, hebilla mariposa plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P05.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P05,"Piel con liberación rápida · Negro, pespunte negro, hebilla mariposa plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P05.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P06,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P06.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P06,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P06.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P06,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P06.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P06,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P06.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P07,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica negra",C1-E1,LO-03-C1-E1-Brz-Piel-P07.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P07,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica negra",C1-E2,LO-03-C1-E2-Brz-Piel-P07.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P07,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica negra",C2-E2,LO-03-C2-E2-Brz-Piel-P07.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P07,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica negra",C2-E3,LO-03-C2-E3-Brz-Piel-P07.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P08,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica de oro rosa",C1-E1,LO-03-C1-E1-Brz-Piel-P08.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P08,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica de oro rosa",C1-E2,LO-03-C1-E2-Brz-Piel-P08.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P08,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica de oro rosa",C2-E2,LO-03-C2-E2-Brz-Piel-P08.webp,https://es.aliexpress.com/item/1005007805649477.html,
4,Piel negra,Brz-Piel-P08,"Piel con liberación rápida · Negro, pespunte negro, hebilla clásica de oro rosa",C2-E3,LO-03-C2-E3-Brz-Piel-P08.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P17,"Piel con liberación rápida · Azul, pespunte blanco, hebilla mariposa plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P17.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P17,"Piel con liberación rápida · Azul, pespunte blanco, hebilla mariposa plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P17.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P17,"Piel con liberación rápida · Azul, pespunte blanco, hebilla mariposa plateada",C2-E2,LO-03-C2-E2-Brz-Piel-P17.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P17,"Piel con liberación rápida · Azul, pespunte blanco, hebilla mariposa plateada",C2-E3,LO-03-C2-E3-Brz-Piel-P17.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P18,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica plateada",C1-E1,LO-03-C1-E1-Brz-Piel-P18.webp,https://es.aliexpress.com/item/1005007805649477.html,
5,Piel azul,Brz-Piel-P18,"Piel con liberación rápida · Azul, pespunte blanco, hebilla clásica plateada",C1-E2,LO-03-C1-E2-Brz-Piel-P18.webp,https://es.aliexpress.com/item/1005007805649477.html,
